[2025-04-01T12:32:00.666Z] ERROR: Unable to connect to the database: database "surajregmi" does not exist
[2025-04-01T12:36:10.781Z] ERROR: Unable to connect to the database: database "surajregmi" does not exist
[2025-04-01T12:37:46.889Z] ERROR: Unable to connect to the database: database "surajregmi" does not exist
[2025-04-01T12:40:34.184Z] ERROR: Unable to connect to the database: database "surajregmi" does not exist
[2025-04-01T12:41:21.049Z] INFO: 2ms Executed (default): SELECT 1+1 AS result
[2025-04-01T12:41:21.051Z] INFO: Database connected successfully!
[2025-04-01T12:41:21.052Z] INFO: Server is running on http://localhost:5000
[2025-04-01T12:41:21.053Z] INFO: 6ms Executed (default): SELECT 1+1 AS result
[2025-04-01T12:41:39.129Z] WARN: GET / 404 - 9ms
[2025-04-01T12:41:39.240Z] WARN: GET /favicon.ico 404 - 1ms
[2025-04-01T12:42:52.611Z] INFO: GET /api-docs 301 - 6ms
[2025-04-01T12:42:52.617Z] INFO: GET /api-docs/ 200 - 4ms
[2025-04-01T12:42:52.672Z] INFO: GET /api-docs/swagger-ui-init.js 200 - 0ms
[2025-04-01T12:42:52.682Z] INFO: GET /api-docs/swagger-ui.css 200 - 11ms
[2025-04-01T12:42:52.685Z] INFO: GET /api-docs/swagger-ui-standalone-preset.js 200 - 14ms
[2025-04-01T12:42:52.691Z] INFO: GET /api-docs/swagger-ui-bundle.js 200 - 19ms
[2025-04-01T12:42:52.694Z] INFO: GET /api-docs/swagger-ui-init.js 200 - 1ms
[2025-04-01T12:42:52.696Z] INFO: GET /api-docs/swagger-ui-standalone-preset.js 200 - 1ms
[2025-04-01T12:42:52.830Z] INFO: GET /api-docs/favicon-32x32.png 200 - 2ms
[2025-04-01T12:42:54.269Z] INFO: GET /api-docs/swagger-ui-bundle.js 200 - 6ms
[2025-04-01T12:58:25.964Z] INFO: GET /api-docs/ 304 - 20ms
[2025-04-01T12:58:25.994Z] INFO: GET /api-docs/swagger-ui.css 304 - 6ms
[2025-04-01T12:58:25.996Z] INFO: GET /api-docs/swagger-ui-init.js 304 - 1ms
[2025-04-01T12:58:25.997Z] INFO: GET /api-docs/swagger-ui-bundle.js 304 - 2ms
[2025-04-01T12:58:25.999Z] INFO: GET /api-docs/swagger-ui-standalone-preset.js 304 - 4ms
[2025-04-01T12:59:14.806Z] WARN: POST /api/auth/signup 400 - 77ms
